hg38.kgXref.geneSymbol	hg38.knownGene.chrom	hg38.knownGene.chrom.num	hg38.knownGene.strand	hg38.knownGene.dir	hg38.knownGene.txStart	hg38.knownGene.txEnd	hg38.knownGene.cdsStart	hg38.knownGene.cdsEnd	hg38.knownGene.exonCount	hg38.knownGene.exonStarts	hg38.knownGene.exonEnds	hg38.knownGene.proteinID	hg38.knownGene.alignID
ALX3	chr1	1	-	0	110059869	110070672	110060732	110070612	4	"110059869,110061434,110064586,110070335,"	"110061041,110061563,110064903,110070672,"	O95076	uc285gvm.2
ALX3	chr1	1	-	0	110060396	110064924	110060732	110064751	3	"110060396,110061434,110064586,"	"110061041,110061563,110064924,"	A0A3B3IS30	uc285gvn.1
AR	chr23	23	+	1	67544020	67730619	67545146	67723841	9	"67544020,67643255,67686009,67711401,67717477,67721832,67722826,67723685,67728673,"	"67546762,67643407,67686126,67711689,67717622,67721963,67722984,67725636,67730619,"	P10275	uc064zqt.2
AR	chr23	23	+	1	67544819	67689763	67544819	67544819	4	"67544819,67643255,67686009,67689555,"	"67546762,67643407,67686126,67689763,"		uc064zqu.1
AR	chr23	23	+	1	67544819	67696075	67545146	67680754	5	"67544819,67643255,67680719,67686009,67694672,"	"67546762,67643407,67681003,67686126,67696075,"	E9PEG3	uc064zqv.1
AR	chr23	23	+	1	67544819	67696075	67545146	67686043	3	"67544819,67685940,67694672,"	"67546762,67686126,67696075,"	A0A087WUX9	uc064zqx.1
AR	chr23	23	+	1	67544819	67696075	67545146	67694722	4	"67544819,67643255,67686009,67694672,"	"67546762,67643407,67686126,67696075,"	P10275	uc011mpf.2
AR	chr23	23	+	1	67546706	67724288	67546706	67643291	9	"67546706,67568835,67643255,67686009,67711401,67717477,67721832,67722826,67723685,"	"67546762,67569022,67643407,67686126,67711689,67717622,67721963,67722984,67724288,"	A0A7I2PS51	uc004dwv.4
AR	chr23	23	+	1	67545143	67723936	67545146	67723717	5	"67545143,67643255,67686009,67711401,67723685,"	"67546762,67643407,67686126,67711689,67723936,"	F5GZG9	uc022byk.3
AR	chr23	23	+	1	67544020	67730619	67545146	67723841	8	"67544020,67643255,67686009,67711401,67717477,67721832,67722826,67723685,"	"67546762,67643407,67686126,67711689,67717622,67721963,67722984,67730619,"	P10275	uc004dwu.5
ARGFX	chr3	3	+	1	121567948	121590622	121570713	121586600	5	"121567948,121570701,121576783,121584916,121586021,"	"121568013,121570816,121576900,121585065,121590622,"	A6NJG6	uc062myc.2
ARGFX	chr3	3	+	1	121570713	121590622	121570713	121586600	4	"121570713,121576783,121584916,121586021,"	"121570816,121576900,121585065,121590622,"	A6NJG6	uc287hpi.1
ARNT	chr1	1	-	0	150809712	150876599	150812020	150876567	22	"150809712,150813171,150814076,150816258,150816787,150817081,150817360,150817919,150823193,150826542,150829092,150829903,150831817,150832333,150834537,150836279,150839440,150842423,150846262,150852761,150858348,150876542,"	"150812110,150813338,150814239,150816406,150816890,150817202,150817433,150818030,150823345,150826617,150829227,150829980,150831903,150832399,150834640,150836493,150839654,150842468,150846307,150852806,150858460,150876599,"	P27540	uc001evr.3
ARNT	chr1	1	-	0	150831485	150836499	150831485	150831485	4	"150831485,150832333,150834537,150836279,"	"150831903,150832399,150834640,150836499,"		uc057kqe.1
ARNT	chr1	1	-	0	150839607	150876696	150853247	150876567	7	"150839607,150842423,150846262,150852761,150853155,150858348,150876542,"	"150839654,150842468,150846307,150852806,150853278,150858460,150876696,"	D6RDB3	uc057kqh.1
ARNT	chr1	1	-	0	150829109	150830382	150829109	150829109	2	"150829109,150829903,"	"150829227,150830382,"		uc057kqc.1
ARNT	chr1	1	-	0	150817393	150818441	150817393	150817393	2	"150817393,150817919,"	"150817433,150818441,"		uc057kqb.1
ARNT	chr1	1	-	0	150811680	150876708	150812020	150858458	23	"150811680,150813171,150814076,150816258,150816787,150817081,150817360,150817919,150823193,150826542,150829092,150829903,150831817,150832333,150834537,150836279,150839440,150842423,150846262,150852761,150858348,150861246,150876542,"	"150812110,150813338,150814239,150816406,150816890,150817202,150817433,150818030,150823345,150826617,150829227,150829965,150831903,150832399,150834640,150836493,150839654,150842468,150846307,150852806,150858460,150861302,150876708,"	P27540	uc009wmb.3
ARNT	chr1	1	-	0	150811960	150876609	150812020	150876567	21	"150811960,150813171,150814076,150816258,150816787,150817081,150817360,150817919,150823193,150826542,150829092,150829903,150831817,150832333,150834537,150836279,150839440,150846262,150852761,150858348,150876542,"	"150812110,150813338,150814239,150816406,150816890,150817202,150817433,150818030,150823345,150826617,150829227,150829980,150831903,150832399,150834640,150836493,150839654,150846307,150852806,150858460,150876609,"	P27540	uc001evs.3
ARNT	chr1	1	-	0	150839398	150876609	150839398	150839398	6	"150839398,150842423,150846262,150852761,150858348,150876542,"	"150839654,150842468,150846307,150852806,150858460,150876609,"		uc057kqg.1
ARNT	chr1	1	-	0	150810093	150876705	150818021	150876567	17	"150810093,150813171,150814076,150817927,150826542,150829092,150829903,150831817,150832333,150834537,150836279,150839440,150842423,150846262,150852761,150858348,150876542,"	"150812110,150813338,150814112,150818030,150826617,150829227,150829980,150831903,150832399,150834640,150836493,150839654,150842468,150846307,150852806,150858460,150876705,"	A6NGV6	uc057kqa.1
ARNT	chr1	1	-	0	150829908	150834863	150829908	150829908	4	"150829908,150831817,150832333,150834537,"	"150829980,150831903,150832399,150834863,"		uc057kqd.1
ARNT	chr1	1	-	0	150836423	150876568	150836423	150836423	6	"150836423,150839440,150846262,150852761,150858348,150876542,"	"150836493,150839654,150846307,150852840,150858460,150876568,"		uc057kqf.1
